,책제목,artist,song_name,id,spotify_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
71,어린 왕자,Akira Kosemura,Fragile,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,0.586,0.0805,8.0,-23.081,0.0,0.0341,0.987,0.943,0.0948,0.213,112.213,"['happiness', 'love', 'fun']"
72,어린 왕자,이루마,s t e l l a,3mWfaQkxgPGYttNeGHtuRc,Yiruma,0.248,0.385,9.0,-8.929,1.0,0.0378,0.972,0.889,0.11,0.362,135.496,"['happiness', 'love', 'fun']"
73,어린 왕자,Matija Strnisa,Everyone is here'],2t565w9bXEGw916xypIUYq,Matija Strni?a,0.86,0.694,0.0,-18.795,1.0,0.0562,0.963,0.872,0.114,0.0395,109.957,"['happiness', 'love', 'fun']"
74,데미안,Erik Satie,Gymnopedie No. 3,4b1ZzDtdGeDpXaPw4DViZ8,Erik Satie,0.408,0.00891,9.0,-34.072,0.0,0.06,0.992,0.961,0.0839,0.291,78.59,"['worry', 'sadness']"
75,데미안,Joep Beving,Wanderlust,7oJBVDLBCLZp62hVGMJNlX,Joep Beving,0.29,0.0366,2.0,-26.232,0.0,0.0396,0.995,0.922,0.0887,0.113,129.608,"['worry', 'sadness']"
76,데미안,Luke Howard,Nocturne,6XTKYGyydndSUV3OHHDwZU,Luke Howard,0.386,0.0552,10.0,-31.201,1.0,0.0395,0.992,0.942,0.0805,0.247,111.914,"['worry', 'sadness']"
77,데미안,Lambert,Sleeping Dogs,4WIi4iFr7nIdNYW5lNbe1T,Lambert,0.359,0.109,3.0,-22.349,1.0,0.0381,0.985,0.938,0.148,0.0694,122.941,"['worry', 'sadness']"
78,데미안,RIOPY,Tree of Light - A Call to Arms,6gE9ia6ayDUkHwoUzZVYVQ,RIOPY,0.276,0.0846,5.0,-20.781,0.0,0.042,0.985,0.87,0.093,0.0391,153.838,"['worry', 'sadness']"
79,데미안,Dustin O'Halloran,We Move Lightly,2gACae9pFwgAFKnVxteQv4,Dustin O'Halloran,0.177,0.133,5.0,-17.889,0.0,0.0419,0.972,0.787,0.0712,0.0575,150.293,"['worry', 'sadness']"
80,데미안,Olafur Arnalds,Near Light,6Xajr512QEGAZ20bqAWkyT,Olafur Arnalds,0.477,0.348,2.0,-14.586,1.0,0.0335,0.931,0.949,0.11,0.0867,117.94,"['worry', 'sadness']"
81,데미안,Olafur Arnalds,nyepi (string quartet version),1tje9Dg1QNU4KJo5wfjags,Olafur Arnalds,0.154,0.104,3.0,-18.461,1.0,0.0466,0.988,0.906,0.28,0.037,136.815,"['worry', 'sadness']"
82,데미안,Nils Frahm,Over There,7agPIlFzTpgKnqyxUVt7aM,Nils Frahm,0.197,0.00581,1.0,-34.505,1.0,0.0506,0.993,0.932,0.105,0.19,85.309,"['worry', 'sadness']"
83,데미안,Maurice Ravel,Pavane pour une infante defunte(죽은 왕녀를 위한 파반느),3MRQn2RYo2VLYMoStnLRxu,Maurice Ravel,0.491,0.0176,4.0,-26.911,0.0,0.0644,0.994,0.927,0.0985,0.0901,125.793,"['worry', 'sadness']"
84,이방인,Ludovico Einaudi,Einaudi : Elegy For The Arctic,4MvqWzm7BDfHKkms39axnn,Ludovico Einaudi,0.324,0.0313,5.0,-29.435,0.0,0.0482,0.988,0.936,0.125,0.145,63.542,"['empty', 'sadness']"
85,이방인,Ludovico Einaudi,Andare,5U87k9mIyu2sGQppcqV4Dw,Ludovico Einaudi,0.355,0.0479,2.0,-28.017,1.0,0.0414,0.986,0.958,0.115,0.0538,98.698,"['empty', 'sadness']"
86,이방인,Claude Debussy,Ballade,3sWbPGkJwBEB7JFgFzMPci,Claude Debussy,0.0934,0.037,1.0,-26.091,1.0,0.0412,0.915,0.972,0.0827,0.0364,164.68,"['empty', 'sadness']"
87,이방인,Lambert,Awake,4gFnOcArAjAx0wqadjtzsq,Lambert,0.584,0.239,7.0,-23.295,1.0,0.0424,0.961,0.91,0.157,0.147,140.004,"['empty', 'sadness']"
88,이방인,Lambert,The Dance,6aQc204iPMcfjuozE4Zn3P,Dan Lambert,0.349,0.00568,11.0,-28.213,1.0,0.0354,0.993,0.873,0.0964,0.0737,69.642,"['empty', 'sadness']"
89,이방인,Ola Gjeilo,Before Dawn,6k5iJy3uIEhaqZu9MCGCiq,Ola Gjeilo,0.314,0.00545,0.0,-33.332,1.0,0.0597,0.994,0.945,0.0894,0.444,138.554,"['empty', 'sadness']"
90,이방인,David Foster,Love,15sEH4pLkxoQwlOYM4HEFW,David Foster,0.443,0.0165,7.0,-28.875,1.0,0.0433,0.99,0.914,0.0832,0.119,115.705,"['empty', 'sadness']"
91,이방인,Music Lab Collective,Wiseman : Quiet Room,4u91K1WDKhzLLg8QJsQlor,Music Lab Strings,0.235,0.175,8.0,-10.311,1.0,0.0486,0.982,0.556,0.382,0.165,168.007,"['empty', 'sadness']"
92,이방인,Olafur Arnalds,Saudade (When We Are Born),1ijwLR1iybtxaUbasUj7kJ,Olafur Arnalds,0.289,0.0253,2.0,-31.435,1.0,0.0376,0.994,0.919,0.0837,0.138,99.801,"['empty', 'sadness']"
93,이방인,:24 Lambert,Balcony Hotel (From 'Miss'),1ugTSkllKG0YdiPaOEPa0z,Lambert,0.503,0.209,8.0,-22.495,0.0,0.0288,0.974,0.913,0.102,0.325,132.361,"['empty', 'sadness']"
94,이방인,:13 Olafur Arnalds,nyepi,5RqKo9P4DLA0bVyY70cWkr,Olafur Arnalds,0.583,0.0238,0.0,-32.244,0.0,0.0369,0.994,0.847,0.103,0.426,108.74,"['empty', 'sadness']"
95,이방인,:28 Max richter,"On The Nature Of Daylight""]",56oReVXIfUO9xkX7pHmEU0,Max Richter,0.065,0.341,10.0,-12.743,0.0,0.0482,0.154,0.854,0.109,0.0334,65.38,"['empty', 'sadness']"
96,인간실격,조영욱,상현의 기도 (박쥐 ost),6KPmAzfGHR1D8Zm5YSJ4yC,Cho Young Wook,0.284,0.0931,11.0,-17.689,0.0,0.0468,0.987,0.947,0.114,0.308,65.107,"['sadness', 'empty']"
97,인간실격,Ryuichi Sakamoto,POPPOYA (piano Version),66hacKPqwClRgpSmWDWhBx,Ryuichi Sakamoto,0.271,0.0842,3.0,-25.826,0.0,0.0476,0.978,0.857,0.104,0.0389,168.977,"['sadness', 'empty']"
98,인간실격,조영욱,제니의 자장가 (Another Take,47LuCAxcS4ArKbIX9XqXeM,Cho Young Wook,0.167,0.139,4.0,-14.72,0.0,0.038,0.931,0.366,0.113,0.0694,78.766,"['sadness', 'empty']"
