,책제목,artist,song_name,id,spotify_artist
76,데미안,Luke Howard,Nocturne,6XTKYGyydndSUV3OHHDwZU,Luke Howard
77,데미안,Lambert,Sleeping Dogs,4WIi4iFr7nIdNYW5lNbe1T,Lambert
78,데미안,RIOPY,Tree of Light - A Call to Arms,6gE9ia6ayDUkHwoUzZVYVQ,RIOPY
79,데미안,Dustin O'Halloran,We Move Lightly,2gACae9pFwgAFKnVxteQv4,Dustin O'Halloran
80,데미안,Olafur Arnalds,Near Light,6Xajr512QEGAZ20bqAWkyT,Ólafur Arnalds
81,데미안,Olafur Arnalds,nyepi (string quartet version),1tje9Dg1QNU4KJo5wfjags,Ólafur Arnalds
82,데미안,Nils Frahm,Over There,7agPIlFzTpgKnqyxUVt7aM,Nils Frahm
83,데미안,Maurice Ravel,Pavane pour une infante defunte(죽은 왕녀를 위한 파반느),4btdNykaeWz3eCutafLNro,Maurice Ravel
84,이방인,Ludovico Einaudi,Einaudi : Elegy For The Arctic,4MvqWzm7BDfHKkms39axnn,Ludovico Einaudi
85,이방인,Ludovico Einaudi,Andare,3weNRklVDqb4Rr5MhKBR3D,Ludovico Einaudi
86,이방인,Claude Debussy,Ballade,53zrZribB4xc2uRzZXWKCT,Claude Debussy
87,이방인,Lambert,Awake,4gFnOcArAjAx0wqadjtzsq,Lambert
88,이방인,Lambert,The Dance,6aQc204iPMcfjuozE4Zn3P,Dan Lambert
89,이방인,Ola Gjeilo,Before Dawn,5YZHOENY8KssNQObXoMPy3,Ola Gjeilo
90,이방인,David Foster,Love,0WM8eYITp3QsohsYwwn4ME,David Foster
91,이방인,Music Lab Collective,Wiseman : Quiet Room,5lCRPA4XEg4VPbNu0lDHBA,Slightly Stoopid
92,이방인,Olafur Arnalds,Saudade (When We Are Born),1ijwLR1iybtxaUbasUj7kJ,Ólafur Arnalds
93,이방인,:24 Lambert,Balcony Hotel (From 'Miss'),1ugTSkllKG0YdiPaOEPa0z,Lambert
94,이방인,:13 Olafur Arnalds,nyepi,3YjTarxfHHEBUWqW5532uv,Ólafur Arnalds
95,이방인,:28 Max richter,"On The Nature Of Daylight""]",56oReVXIfUO9xkX7pHmEU0,Max Richter
96,인간실격,조영욱,상현의 기도 (박쥐 ost),6KPmAzfGHR1D8Zm5YSJ4yC,Cho Young Wook
97,인간실격,Ryuichi Sakamoto,POPPOYA (piano Version),4QrLwgJt0OGkUFBbQKk0fL,Ryuichi Sakamoto
98,인간실격,조영욱,제니의 자장가 (Another Take,47LuCAxcS4ArKbIX9XqXeM,Cho Young Wook
99,인간실격,조영욱,편지 (친절한 금자씨 ost),71zgzDWBaSpFZuflwRfVJD,Cho Young Wook
100,인간실격,S.A. Karl,Aldebaran,4bn5nDWccvgalkZGVzth00,S.A. Karl
101,인간실격,Abel Korzeniowski,"Table For Two""",20vEB3It4xYzKHlMecu6X1,Abel Korzeniowski
102,분노의 질주,"Kid lnk,Tyga, wale,YG, Rich homie Quan",Ride out,59PL9AwYjIrIpP04n9gmMR,Kid Ink
103,분노의 질주,Wiz Khalifa & lggy Azalea,Go Hard or Go home,7IBSffWIu7P2MC7kMwy2FM,Wiz Khalifa
104,분노의 질주,Flo Rida,GDFR (remix),15W8qc8Ok22EJGNwEKhiw9,Flo Rida
105,헝거 게임,Sia,elastic heart,0udoMICxzaUbNUT8EVRq8B,Sia
106,반지의 제왕,Howard Shore,Evenstar,1TQKEwq4y9SkNciJuisE1m,Howard Shore
107,토이스토리,Randy Newman,You've Got a Friend in Me,2stkLJ0JNcXkIRDNF3ld6c,Randy Newman
108,쿵푸 팬더,Cee-Lo Green,Kung Fu Fighting,7eGAQnxbIHHFtS1p9rmAZ0,CeeLo Green
109,테이큰,Ghinzu,The Dragster Wave,6g6VNiwoMRPsbhk9CfYo1V,Ghinzu
110,아메리칸 뷰티,Thomas Newman,Any Other Name,33B1XmfncHqnfkrYZIcHbD,Thomas Newman
111,아메리칸 뷰티,Gomez,We Haven't Turned Around,0jONzUJvInw2qqyOEGDbzE,Gomez
112,로스트 인 트랜스레이션,Squarepusher,Tommib,3LbuqJCxuX5P63vVONosge,Squarepusher
113,로스트 인 트랜스레이션,Kevin Shields,Ikebana,3bMQUvGEAib8rYvKWWKu9m,Ikebe Shakedown
114,로스트 인 트랜스 레이션,AIR,Alone in Kyoto,40UlFC0dIxv7lAEJaPZLnm,Air
