,책제목,artist,song_name,id,spotify_artist,O
77,스키터,이윤지,우리 식구,1XrfEfQj3x4XfIM1nxMJJW,이정현,X
78,스키터,임승범,이해,,,X
79,스키터,박성일,하루,,,X
80,스키터,또 오해영 OST,나 심심하다 진짜…,0mtuqz4rcMYCKjF1cjmlu6,Jung Yong Hwa,X
81,스키터,정세린,위로,,,X
82,스키터,오준성,In Memories,5TptH8AKtJHRx21Wa4AX2k,Oh Joon Sung,O
83,스키터,박상희,쿠바 정원의 밤하늘,2H9wfK2JW6UZH6ofhMMmaB,테라피 피아노,X
84,스키터,김연정,Truth,5amgK2rjUTSyXS1q1IUNR8,Kim Yeon Woo,X
85,스키터,임하영,위로,,,X
86,스키터,유민호,까멜리아,5lKWtBL8zthnuG9C9z2ecF,Yoo Min Ho,O
87,스키터,또 오해영 OST,난 내가 여전히…,0mtuqz4rcMYCKjF1cjmlu6,Jung Yong Hwa,X
88,스키터,홍진호,Moonlight (Cello Ver.),2L7P1ukm8GXHTBeHSM0st1,Hong Jin Ho,O
89,스키터,OHDH,마음일기,5NtAjS4i0wEFK0lvvuSAVb,Cho Jang Hyuck,X
90,스키터,김윤아,Happy Things,23yPZ4KHxFhotRk1ykyZIK,김윤진 Kim Yun Jin,X
91,스키터,진수영,멈춰선 채,2REiV8Cx6JsVkMFiTUP4on,Jin Sung,X
92,스키터,정재형,사랑하는 이들에게,3Y2Ks3xBvIhLvG1AHRtd2q,Jeong Tae chun,X
93,스키터,바다가 들린다 OST,First Impression (piano cover Pidalso),4m4QBep0gtfC3g8wjev0QB,Sugar Coast,X
94,스키터,전진희,breathing in October(2021),5yNtqQzL2eAr5pb1cRDUhe,Jeon Jin Hee,O
95,스키터,OHDH,그때도 알았더라면,3eOXiUUfz9OhyVqoREsJYe,OOHYO,X
96,스키터,:03 Rain Song,Emile Mosseri,2FH1R4lNVQQx64VLEPLOhF,Emile Mosseri,X
97,잊었던 용기,Iwamura Ryuta,Rio,75r0iioFSw03555dN2ydPV,Shigeyuki Kameda,X
98,잊었던 용기,Kosemura Akira,Mirage,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,X
99,잊었던 용기,Kosemura Akira,Kosemura: Passing By,7AZCidWfobiJzWoxPB67gr,Akira Kosemura,X
