,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
52,2PFPDjSJpeZE889648rbUP,https://open.spotify.com/track/2PFPDjSJpeZE889648rbUP,Tainy,0.482,0.791,1.0,-2.686,1.0,0.098,0.0338,0.0,0.0985,0.588,98.986
53,4eMKD8MRroxCqugpsxCCNb,https://open.spotify.com/track/4eMKD8MRroxCqugpsxCCNb,Tainy,0.805,0.707,6.0,-3.758,0.0,0.0353,0.142,3.71e-05,0.563,0.744,122.014
54,1YUTTfAThKaxEYP9Zfv21V,https://open.spotify.com/track/1YUTTfAThKaxEYP9Zfv21V,Tainy,0.788,0.778,8.0,-2.17,0.0,0.0329,0.0292,2.43e-05,0.0452,0.646,121.976
55,3kviwFPwSWwjgjRNBEBUSe,https://open.spotify.com/track/3kviwFPwSWwjgjRNBEBUSe,Tainy,0.456,0.298,8.0,-8.45,0.0,0.0396,0.759,4.75e-05,0.189,0.47,120.162
56,6eSlDHA3XYLha1e0z8I9DO,https://open.spotify.com/track/6eSlDHA3XYLha1e0z8I9DO,Tainy,0.793,0.656,9.0,-5.64,0.0,0.0969,0.749,0.0277,0.671,0.0826,92.012
57,1VCMkNBJtt1obiqIGRvla5,https://open.spotify.com/track/1VCMkNBJtt1obiqIGRvla5,Tainy,0.803,0.673,10.0,-3.674,1.0,0.0436,0.0642,0.0,0.155,0.305,105.013
58,0hDE81j4N2DPLbEY4tiCDs,https://open.spotify.com/track/0hDE81j4N2DPLbEY4tiCDs,Tainy,0.75,0.83,0.0,-3.544,1.0,0.0683,0.115,0.0,0.765,0.688,104.937
59,6xntXCix5SxiEtv9zH7pXF,https://open.spotify.com/track/6xntXCix5SxiEtv9zH7pXF,Tainy,0.344,0.847,8.0,-5.076,1.0,0.21,0.178,0.0,0.351,0.156,99.889
60,1ncGbGufa7aUaJ5zC4YP3y,https://open.spotify.com/track/1ncGbGufa7aUaJ5zC4YP3y,Tainy,0.745,0.887,11.0,-2.75,0.0,0.0437,0.0306,0.00224,0.245,0.722,155.041
61,1fFB8ahI0ZwU3X9mimCpjb,https://open.spotify.com/track/1fFB8ahI0ZwU3X9mimCpjb,Tainy,0.49,0.602,4.0,-5.329,0.0,0.0635,0.276,0.000217,0.11,0.505,93.217
62,4JtLrFUg0ff2x9TsXCgx76,https://open.spotify.com/track/4JtLrFUg0ff2x9TsXCgx76,Tainy,0.646,0.703,4.0,-6.343,0.0,0.0777,0.0883,1.5e-06,0.0863,0.139,170.091
63,7z3rdMzhY122waIpkSsE7P,https://open.spotify.com/track/7z3rdMzhY122waIpkSsE7P,Tainy,0.593,0.717,7.0,-3.924,0.0,0.0472,0.441,8.72e-05,0.218,0.307,99.966
64,73dabjAcAF06vA4C1o16ta,https://open.spotify.com/track/73dabjAcAF06vA4C1o16ta,Tainy,0.67,0.924,6.0,-2.387,0.0,0.0737,0.152,3.81e-06,0.404,0.402,99.985
65,1KtRx5xxGtAn8q80KUZpDw,https://open.spotify.com/track/1KtRx5xxGtAn8q80KUZpDw,Tainy,0.813,0.756,4.0,-4.389,0.0,0.0378,0.0969,5.72e-05,0.315,0.523,126.01
66,2m8V3evS07OnhatBWyh0Nt,https://open.spotify.com/track/2m8V3evS07OnhatBWyh0Nt,Tainy,0.526,0.877,3.0,-3.619,1.0,0.092,0.0457,3.05e-06,0.682,0.715,88.119
67,4ip9d4gpr7qni3OB1YYLSt,https://open.spotify.com/track/4ip9d4gpr7qni3OB1YYLSt,Tainy,0.646,0.458,8.0,-7.88,0.0,0.119,0.895,0.0498,0.642,0.739,112.354
68,6AQbmUe0Qwf5PZnt4HmTXv,https://open.spotify.com/track/6AQbmUe0Qwf5PZnt4HmTXv,PinkPantheress,0.696,0.809,5.0,-8.254,1.0,0.05,0.252,0.000128,0.248,0.857,132.962
69,3QUbaXCfksmF19lW32BQE0,https://open.spotify.com/track/3QUbaXCfksmF19lW32BQE0,PinkPantheress,0.656,0.838,5.0,-8.407,1.0,0.041,0.25,0.00281,0.207,0.74,132.981
70,4DHcnVTT87F0zZhRPYmZ3B,https://open.spotify.com/track/4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,0.707,0.681,0.0,-4.325,1.0,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999
71,3AAY8YicetRPlDAkibHLiS,https://open.spotify.com/track/3AAY8YicetRPlDAkibHLiS,Miley Cyrus,0.496,0.593,4.0,-5.154,1.0,0.0285,0.0476,0.0,0.0909,0.177,91.038
72,3wH4eUkJ1rL5xTU8PZZyOy,https://open.spotify.com/track/3wH4eUkJ1rL5xTU8PZZyOy,Miley Cyrus,0.539,0.503,2.0,-5.338,1.0,0.0385,0.0574,2.34e-05,0.0847,0.836,174.068
73,1GN6qqehnqUfUHH1gfK81v,https://open.spotify.com/track/1GN6qqehnqUfUHH1gfK81v,Miley Cyrus,0.503,0.722,9.0,-7.595,1.0,0.103,0.205,3.52e-05,0.0845,0.354,172.006
74,6FAsJDkg4y5JSWP9ZMKlDj,https://open.spotify.com/track/6FAsJDkg4y5JSWP9ZMKlDj,Miley Cyrus,0.625,0.568,11.0,-5.663,1.0,0.0324,0.288,0.0,0.674,0.348,85.545
75,6fcZVY3WjwKxVKlKFu84rF,https://open.spotify.com/track/6fcZVY3WjwKxVKlKFu84rF,Miley Cyrus,0.414,0.881,10.0,-5.826,0.0,0.239,0.089,0.000149,0.0868,0.24,183.925
76,04CqLjewJiSAqM210vZAmT,https://open.spotify.com/track/04CqLjewJiSAqM210vZAmT,Miley Cyrus,0.613,0.803,9.0,-5.171,1.0,0.0367,0.000525,0.000333,0.189,0.461,127.989
77,00Ga884hbpVvCNyeQdle1U,https://open.spotify.com/track/00Ga884hbpVvCNyeQdle1U,Miley Cyrus,0.642,0.715,8.0,-5.711,1.0,0.0385,0.00265,0.0,0.094,0.588,119.938
78,1S1WWTuydW6zljNeHOpZXe,https://open.spotify.com/track/1S1WWTuydW6zljNeHOpZXe,Miley Cyrus,0.548,0.779,7.0,-4.737,1.0,0.109,0.076,0.000494,0.19,0.524,172.083
79,1rpfEeYbtYDcnLWSBZBmNH,https://open.spotify.com/track/1rpfEeYbtYDcnLWSBZBmNH,Miley Cyrus,0.723,0.676,6.0,-6.266,0.0,0.0505,0.116,0.135,0.109,0.232,109.997
80,0lJrPatloYarTbsKciShJu,https://open.spotify.com/track/0lJrPatloYarTbsKciShJu,Miley Cyrus,0.657,0.784,8.0,-6.374,1.0,0.0422,0.336,0.000671,0.673,0.772,81.975
81,0rji0TyRgXVHofeKuqxshO,https://open.spotify.com/track/0rji0TyRgXVHofeKuqxshO,Miley Cyrus,0.443,0.226,10.0,-7.776,1.0,0.0354,0.939,0.0,0.0797,0.238,72.851
82,3MnewZrZDqej6thgEx3OB1,https://open.spotify.com/track/3MnewZrZDqej6thgEx3OB1,Miley Cyrus,0.672,0.159,9.0,-8.76,0.0,0.0343,0.962,1.83e-05,0.106,0.117,113.218
83,2SRiJNA3yILEMOPbETtL6M,https://open.spotify.com/track/2SRiJNA3yILEMOPbETtL6M,Myke Towers,0.585,0.647,2.0,-5.872,1.0,0.324,0.259,0.000134,0.239,0.167,92.887
84,5OYRVKWII0Eog7CjQRnmGf,https://open.spotify.com/track/5OYRVKWII0Eog7CjQRnmGf,Myke Towers,0.766,0.774,4.0,-3.84,0.0,0.246,0.48,0.000165,0.1,0.831,180.033
85,7qnKyMGK3eccOIIv06l3M9,https://open.spotify.com/track/7qnKyMGK3eccOIIv06l3M9,Myke Towers,0.831,0.76,0.0,-8.238,0.0,0.0761,0.121,0.000173,0.0753,0.962,114.969
86,2QKVCfIDdHf16FkDPFHBHX,https://open.spotify.com/track/2QKVCfIDdHf16FkDPFHBHX,Myke Towers,0.872,0.681,0.0,-4.348,0.0,0.11,0.0462,1.38e-05,0.129,0.481,96.986
87,540VOu1aQ9TqENgWAC82Rz,https://open.spotify.com/track/540VOu1aQ9TqENgWAC82Rz,Myke Towers,0.752,0.554,0.0,-5.214,1.0,0.0929,0.296,0.0,0.099,0.921,76.01
