,id,url,Artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
54,0RZLmpEzGR2NHite6rvS5H,https://open.spotify.com/track/0RZLmpEzGR2NHite6rvS5H,Glass Animals,0.903,0.529,8.0,-9.901,1.0,0.0623,0.105,0.00255,0.138,0.353,100.977,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
55,2MA6YoaFF7fnWqkuOAWjUg,https://open.spotify.com/track/2MA6YoaFF7fnWqkuOAWjUg,Glass Animals,0.715,0.438,8.0,-9.874,0.0,0.0575,0.12,0.000139,0.107,0.418,128.905,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
56,7MAaZgT2QNnITEwOMQq9Ac,https://open.spotify.com/track/7MAaZgT2QNnITEwOMQq9Ac,Glass Animals,0.553,0.354,4.0,-15.02,1.0,0.0489,0.976,0.674,0.305,0.298,87.814,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
57,0bx6v84HtmEYFRBAOvDTgk,https://open.spotify.com/track/0bx6v84HtmEYFRBAOvDTgk,Glass Animals,0.851,0.663,7.0,-7.168,1.0,0.0532,0.0167,0.363,0.103,0.605,108.004,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
58,7s0FCUlKnSFjFPzcIJmkwo,https://open.spotify.com/track/7s0FCUlKnSFjFPzcIJmkwo,Glass Animals,0.649,0.553,11.0,-7.139,0.0,0.034,0.194,0.000553,0.178,0.322,149.004,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
59,7jbDqjzkpjfUytnqG6zxO3,https://open.spotify.com/track/7jbDqjzkpjfUytnqG6zxO3,Glass Animals,0.394,0.278,1.0,-13.28,0.0,0.033,0.598,0.169,0.0689,0.121,106.989,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
60,5GWdbUP56UBrpkkWpitLTG,https://open.spotify.com/track/5GWdbUP56UBrpkkWpitLTG,Glass Animals,0.397,0.275,0.0,-13.43,1.0,0.0363,0.0438,0.156,0.437,0.122,119.86,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
61,26E2fb3lp8MUEHq1WagF5f,https://open.spotify.com/track/26E2fb3lp8MUEHq1WagF5f,Glass Animals,0.657,0.357,9.0,-10.922,0.0,0.0699,0.708,8.28e-06,0.0803,0.336,114.994,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
62,3USxtqRwSYz57Ewm6wWRMp,https://open.spotify.com/track/3USxtqRwSYz57Ewm6wWRMp,Glass Animals,0.761,0.525,11.0,-6.9,1.0,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
63,2FmYw5jOjsj5dHZdWK0vXq,https://open.spotify.com/track/2FmYw5jOjsj5dHZdWK0vXq,Glass Animals,0.407,0.039,2.0,-23.676,1.0,0.0518,0.987,0.000638,0.0341,0.367,110.774,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']"
